"outcome","att","se","ci_lo","ci_hi","p_value","signif"
"fiscal_balance_pc",33.5,47.6,-59.9,126.8,0.482,""
"rev_total_pc",-21.6,66.4,-151.8,108.5,0.745,""
"rev_proptax_pc",-44.5,42.7,-128.3,39.3,0.298,""
"exp_capital_pc",-25.2,18.4,-61.2,10.8,0.17,""
