"method","cohort","n_treated","att","se","ci_lo","ci_hi","p_value","signif"
"SynthDiD",2017,267,-42.6,33.9,-109.1,23.9,0.21,""
"SynthDiD",2022,117,121.3,94.7,-64.4,307,0.2,""
