"outcome","estimator","coef","se","pvalue","pretrend_waldp"
"fiscal_balance_pc","CS_low_dose",522.8,480.7,0.277,NA
"fiscal_balance_pc","CS_high_dose",332.1,463.9,0.474,NA
"exp_capital_pc","CS_low_dose",22.6,190.6,0.906,NA
"exp_capital_pc","CS_high_dose",-109.7,132.2,0.407,NA
