"outcome","att","se","ci_lo","ci_hi","p_value","signif"
"fiscal_balance_pc",-12.4,120.2,-247.9,223.1,0.918,""
"rev_total_pc",-93.4,129.5,-347.3,160.5,0.471,""
"rev_proptax_pc",-131.6,115.5,-357.9,94.8,0.255,""
"exp_capital_pc",-87.1,44.3,-173.9,-0.3,0.049,"**"
