"outcome","se_pre_ell_neg10","att_ell_neg5","se_ell_neg5","att_ell_0","delta_max_undetect","bias_1period_extrap"
"fiscal_balance_pc",73.7418982362323,237.15433430791,405.522682502411,-286.296397913309,794.8,794.8
"exp_capital_pc",60.2789730059774,122.948024995778,147.293406522111,-146.745745105376,288.7,288.7
"rev_total_pc",123.339251590084,7.92695323495121,416.340647645565,-441.614072767328,816,816
